Name,Description,Price,Rating,# of Reviews,Link
"Fairywill Electric Toothbrush for Adults, 5 Modes, Smart Timer, 8 Brush Heads, Fully Rechargeable with One 4 Hr Charge Last 30 Days, Whitening Ultrasonic Toothbrushes with A Travel Case in Black",,46.95,4.4,"2,692",https://www.amazon.ca/Fairywill-Toothbrush-Rechargeable-Whitening-Toothbrushes/dp/B07X23JRB3/ref=sr_1_1_sspa?dchild=1&keywords=brush&qid=1619850544&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzUlBIOFZFR0JCWlozJmVuY3J5cHRlZElkPUEwNzg0NjE5SVUzWTVWRTJZMVVMJmVuY3J5cHRlZEFkSWQ9QTEwMzY1NzRLMFpISjFWWjRTMkQmd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl
BaBylissPRO Jumbo Tint Brush,"The BaBylissPRO Jumbo Tint Brush offers firm yet soft nylon bristles to distribute color evenly. Delivering the high quality stylists have come to rely on. Featuring pro quality materials and finishings. For mid/long length hair- 2-1/2"" (64 mm) wide.

",2.99,4.7,38,https://www.amazon.ca/BaBylissPRO-Jumbo-Tint-Brush/dp/B08B1Z5V9W/ref=sr_1_56?dchild=1&keywords=brush&qid=1619850544&sr=8-56
"Wet Brush Custom Style Round Brush - for All Hair Types - A Perfect Blow Out with Less Pain, Effort and Breakage - Unique 3-In-One Customizable Barrel","Wet Brush Custom Style Round Brush - for All Hair Types - A Perfect Blow Out with Less Pain, Effort and Breakage - Unique 3-In-One Customizable Barrel

",18.76,4.4,101,https://www.amazon.ca/Wet-Brush-Custom-Style-Round/dp/B088K64VGJ/ref=sr_1_55?dchild=1&keywords=brush&qid=1619850544&sr=8-55
Premium Interdental Floss Pick - Curaprox Prime CPS 08 - Pink - Orthodontic Gum Flossers - Braces Floss Stick - Interdental Brushes - 25 Brushes & 25 Small Handles,,49.99,.0,1,https://www.amazon.ca/Premium-Interdental-Floss-Pick-Orthodontic/dp/B08NFW9BFV/ref=sr_1_60_sspa?dchild=1&keywords=brush&qid=1619850544&sr=8-60-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzUlBIOFZFR0JCWlozJmVuY3J5cHRlZElkPUEwNzg0NjE5SVUzWTVWRTJZMVVMJmVuY3J5cHRlZEFkSWQ9QTAxMDU4OTgxTUJHOEMwTVhNNjcwJndpZGdldE5hbWU9c3BfYnRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
"Fairywill Dual Electric Toothbrushes for Adults and Kids - 8 Brush Heads 2 Travel Cases Included, 5 Modes with Smart Timer, Rechargeable Whitening Electronic Toothbrush USB Charging Lasts 30 Days",,68.93,4.,"2,877",https://www.amazon.ca/Fairywill-Sonic-Electric-Toothbrushes-Adults/dp/B08BF8PNHG/ref=sr_1_58_sspa?dchild=1&keywords=brush&qid=1619850544&sr=8-58-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzUlBIOFZFR0JCWlozJmVuY3J5cHRlZElkPUEwNzg0NjE5SVUzWTVWRTJZMVVMJmVuY3J5cHRlZEFkSWQ9QTA3OTQzNDk5UERQQjUzUzFFUVomd2lkZ2V0TmFtZT1zcF9idGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl
"Replacement Brush Head Braun Oral B Compatible, Pack of 8 Precision brush & 8 Sensitive Clean Electric Toothbrush Replacement Head for Oral b Vitality",,15.99,4.,429,https://www.amazon.ca/Replacement-Compatible-Precision-Sensitive-Toothbrush/dp/B07QWKLBNY/ref=sr_1_59_sspa?dchild=1&keywords=brush&qid=1619850544&sr=8-59-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzUlBIOFZFR0JCWlozJmVuY3J5cHRlZElkPUEwNzg0NjE5SVUzWTVWRTJZMVVMJmVuY3J5cHRlZEFkSWQ9QTAyMDc1NTEyRUQxVzk0TUdXSjMyJndpZGdldE5hbWU9c3BfYnRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
Y-Kelin 2 packs L-shaped Interdental Brush Angle Brush 20 pcs (Blue0.8mm),,9.99,4.0,10,https://www.amazon.ca/Y-Kelin-packs-L-shaped-Interdental-Blue0-8mm/dp/B089NF36VF/ref=sr_1_4_sspa?dchild=1&keywords=brush&qid=1619850544&sr=8-4-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzUlBIOFZFR0JCWlozJmVuY3J5cHRlZElkPUEwNzg0NjE5SVUzWTVWRTJZMVVMJmVuY3J5cHRlZEFkSWQ9QTA4NTYxMDRKMUxSNjc2QkpNNVgmd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl
Hartz Cat Brush,"Hartz Groomer's Best Slicker Brush for Cats.

",5.97,4.6,"7,959",https://www.amazon.ca/Hartz-12411-Cat-Brush/dp/B00757W4KK/ref=sr_1_54?dchild=1&keywords=brush&qid=1619850544&sr=8-54
"Barbecue Grill Brush and Scraper - Extended, Large Wooden Handle and Stainless Steel Bristles - No Scratch Cleaning for Any Grill: Char Broil & Ceramic - BBQ-Aid","The BBQ-Aid starts with a sturdy, light brown wooden handle and extends with a a sturdy stainless steel core, leading to the brush, which has strong stainless steel bristles and a stainless steel scraper.",30.86,.0,1,https://www.amazon.ca/Barbecue-Grill-Brush-Scraper-Stainless/dp/B0144H18IC/ref=sr_1_52?dchild=1&keywords=brush&qid=1619850544&sr=8-52
Wet Brush Frozen 2 Brush Elsa Purple Grace - 1ea,"Wet Brush Frozen 2 Brush Elsa Purple Gracecolorful, fun, and most importantly - when it comes to your hair - pain free. An international cult favorite, The Original Detangler can be used on wet or dry hair, effortlessly loosening tangles with less breakage and damage to your tresses. Our exclusive, ultra-soft IntelliFlex bristles uniquely bend and flex, providing you with a blissful brushing experience from root to tip.

",13.10,4.7,273,https://www.amazon.ca/Wet-Brush-Frozen-Purple-Grace/dp/B07YLCN7WJ/ref=sr_1_53?dchild=1&keywords=brush&qid=1619850544&sr=8-53
"Super Soft Silicone Face Cleanser and Massager Brush Manual Facial Cleansing Brush Handheld Mat Scrubber For Sensitive, Delicate, Dry Skin (4pcs set)",,9.99,4.,"3,306",https://www.amazon.ca/Silicone-Cleanser-Massager-Cleansing-Sensitive/dp/B01M3Z5172/ref=sr_1_51?dchild=1&keywords=brush&qid=1619850544&sr=8-51
"10PCS Chip Brushes Bulk Paint Brushes 4 inch for Paint, Stains, Varnishes, Glues, and Gesso",Features: ,29.95,4.4,20,https://www.amazon.ca/10PCS-Brushes-Bristle-Stains-Varnishes/dp/B07JR98FR5/ref=sr_1_50?dchild=1&keywords=brush&qid=1619850544&sr=8-50
"Wilkinson Sword Mens Vintage Shaving Brush, 1 Count","Wilkinson Sword has been offering a classic shave since 1898. Our Wilkinson Sword vintage shaving products brings the classic barbershop shaving experience to the comfort of your home. Wilkinson Sword shaving brush is engineered to gently lift and moisten your beard, while giving it a precise lather. The bristles are fine and soft on your skin, yet firm enough to exfoliate and lift facial hairs before your shave. Wilkinson Sword shaving brush effortlessly glides on your skin, and leaves it well cared for and smoother.

",6.99,4.3,284,https://www.amazon.ca/Wilkinson-Sword-Vintage-Shaving-Brush/dp/B07J5HM9PF/ref=sr_1_49?dchild=1&keywords=brush&qid=1619850544&sr=8-49
"Detangling Boar Bristle Hair Brush Set. Hairbrush for Thick, Long and Curly Hair. Restores Shine and Texture to Your Hair. Wooden Comb, Travel Bag & Spa Headband Included",,35.95,4.9,246,https://www.amazon.ca/Detangling-Hairbrush-Restores-Headband-Included/dp/B07GT1KMB5/ref=sr_1_47?dchild=1&keywords=brush&qid=1619850544&sr=8-47
Burt's Bees for Dogs Palm Slicker Brush | Best Ergonomic Dog Brush To Reduce Shedding | Easy to Hold Dog Slicker Brush Made From Bamboo Reduces Stress On your Wrist | Ideal for Daily Grooming,"Keep your pooch soft & sleek with Burt's Bees for Pets Bamboo Slicker Brush. Burt's Bees Slicker Brush was designed to remove loose fur prevent matting and help keep coats shiny and soft This easy to use dog brush is intended for daily use. Just a few strokes and your canine companion will be looking and feeling its best. Since 1984 Burt's Bees has been working with nature to create products that nurture your skin. We believe that pets are family so we're bringing the same natural attention and care to your closest furry friends. Let your pet enjoy a sleeker coat with this dog brush. DIRECTIONS: Gently brush in the direction of fur growth (from skin out) starting at the front of your pet and working your way to the back. Do not drag bristle tips along the skin and use caution around the dog's face ears and sensitive areas. Brush small areas at a time to prevent tugging while brushing. Repeat brushing as needed. YOUR SATISFACTION IS OUR PRIORITY*: If you have any questions or feedback, please email us at info@fetch4pets.com. *Based on last 52 weeks Nielsen sales data measured in August 2020.

",9.57,4.3,42,https://www.amazon.ca/Burts-Bees-Slicker-Ergonomic-Shedding/dp/B07PTPF74H/ref=sr_1_48?dchild=1&keywords=brush&qid=1619850544&sr=8-48
"Coomazy Chocolate Semi Sphere Silicone Mold, 3 Packs 2.68"" Large 6-Cavity Baking Half Round Mold for Making Hot Chocolate Cocoa Bomb, Cake, Pudding, Jelly, Dome Mousse soap with Brush - BlackPinkGrey",,16.99,4.0,1,https://www.amazon.ca/Coomazy-Chocolate-Silicone-6-Cavity-Pudding/dp/B08R3Q2W68/ref=sr_1_103?dchild=1&keywords=brush&qid=1619850547&sr=8-103
"Yuede Toilet Brush, Toilet Brush Stainless Steel Handle,2 High-end Nylon Brushes Heads with Brush Holder, Premium Quality Toilet Brush WC Set Black for Bathroom Toilet Cleaning, Elegant and Modern Design - Ergonomic and Practical Handle",,22.99,4.3,98,https://www.amazon.ca/Yuede-Stainless-High-end-Bathroom-Cleaning/dp/B07W6ZQ353/ref=sr_1_104?dchild=1&keywords=brush&qid=1619850547&sr=8-104
Nail Brush fingernail Brushes for Cleaning Hand Brushes for Nails fingernail Scrubber Hand Washing Brush 4pcs,"Those items are manufactured with premium material for durable and long-lasting use. It's used for cleaning hands and nails, such as nail polish. This brush won't scrub your skin toughly with soft but firm brush bristle, but could effectively erase the dirt of your skin. Remove dirt conveniently and easily. Perfect cleaning tool for hands, feet, nails, etc. Especially designed clean brush for women men",17.08,4.6,53,https://www.amazon.ca/HAOSDA-Two-sided-Cleaning-Scrubbing-Brushes/dp/B072KDW7GT/ref=sr_1_102?dchild=1&keywords=brush&qid=1619850547&sr=8-102
"4 Pcs Detangling Brush, Goowin Detangler brush, Easy Detangler Brush with Edge Brush & Tail Comb, Detangling Brush for Black Natural Hair, Afro America 3a to 4c Hair, Wet/Dry Thick Curly Hair (Pink)",Material: ABS+Rubber,15.47,4.,546,https://www.amazon.ca/Detangling-Goowin-Detangler-Natural-America/dp/B088ZXB8MJ/ref=sr_1_100?dchild=1&keywords=brush&qid=1619850547&sr=8-100
Top Med LICE Comb Steel Screw Needle Spiral 1 Count,"TOPMED Stainless steel screw needle lice comb The long, dense screw teeth have been specially designed to ensure thorough removal of lice and lice eggs. Large handle for safe grip of the comb The rounded metal teeth on the edges were designed with the hair growth in mind to protect the scalp and prevent damage to the hair texture. The natural, ecological, safe and proper way to get rid of lice and lice eggs The TOPMED lice comb can be boiled for complete sterilization Directions for use: Wash the comb thoroughly after each use. Comb the hair thoroughly with a comb or brush before use and loosen all ties to allow a smooth transition to the teeth of the comb. It is best to use a lice comb when the hair is dry. Divide the hair into the ends and comb each piece separately until all lice and lice eggs are removed from all ends of the hair. This should be repeated especially in areas prone to infection, behind the ears and the back of the head. The comb can also be disinfected in 70% alcohol.

",9.90,4.3,123,https://www.amazon.ca/Top-Med-Steel-Needle-Spiral/dp/B07CN6VPYG/ref=sr_1_107_sspa?dchild=1&keywords=brush&qid=1619850547&sr=8-107-spons&psc=1&smid=A14XDOBJC9XR3C&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzOVkzUE9MNkJKU044JmVuY3J5cHRlZElkPUEwNzExNDUxMUYzUlBIS0NZQklTUCZlbmNyeXB0ZWRBZElkPUEwOTM4Mzk3QkpFSUs5WlkwSFJYJndpZGdldE5hbWU9c3BfYnRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
"Wet Brush Hair Brush Original Detangler  - Diagonal Checkers - Exclusive Ultra-soft IntelliFlex Bristles - Protects Against Split Ends and Breakage - For Women, Men, Wet And Dry Hair","Wet Brush The Original Detangler Revolutionary bristles that glides through tangles without breakage or pain. Award-Winning All Hair TypesAbout UsHow you brush your hair is the key to strong and healthy hair and the single most overlooked step in hair care. Hair is weakest when wet and pulling at it can snap it like a rubber band. This is why you should brush with a tool that gently loosens knots without pulling or breaking hair.Our famous Original Detangler changed the hairbrush game, and transformed what used to be a painful and time consuming task into an effortless, fun and colorful part of your day.We offer our famous detangling bristles in lots of shapes and sizes – for travel, the shower, kids, styling and more.DETANGLEwith over 45% less breakageDRYLess drying time equals happier hairSTYLEStyle your way to the perfect blowoutCAREDay 2 (and 3!) hair best friend

",13.30,4.8,"4,047",https://www.amazon.ca/Wet-Brush-Hair-Original-Detangler/dp/B082P832R7/ref=sr_1_101?dchild=1&keywords=brush&qid=1619850547&sr=8-101
"12 Pack of Premium Philips Sonicare Brush Heads by Versasonic: Toothbrush Heads are Compatible with: DiamondClean, Premium Plaque, Premium Gum Care, Premium White, Intercare, Proresults, Simply Clean","Versasonic is committed to provide high-quality generic Sonicare toothbrush replacement heads for Philips.Designed to work with multiple Sonicare models,these snap-on replacement brush heads.",16.99,4.,"2,035",https://www.amazon.ca/Premium-Philips-Sonicare-Brush-Versasonic/dp/B07GY4QSCP/ref=sr_1_97?dchild=1&keywords=brush&qid=1619850547&sr=8-97
"Fairywill Dual Electric Toothbrushes for Adults and Kids - 8 Brush Heads 2 Travel Cases Included, 5 Modes with Smart Timer, Rechargeable Whitening Electronic Toothbrush USB Charging Lasts 30 Days",,68.93,4.,"2,877",https://www.amazon.ca/Fairywill-Dual-Electric-Toothbrushes-Adults/dp/B08N9W8TVP/ref=sr_1_105_sspa?dchild=1&keywords=brush&qid=1619850547&sr=8-105-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzOVkzUE9MNkJKU044JmVuY3J5cHRlZElkPUEwNzExNDUxMUYzUlBIS0NZQklTUCZlbmNyeXB0ZWRBZElkPUEwNTc4Nzg1MlhMU1E4M1k3WlQ0QiZ3aWRnZXROYW1lPXNwX2J0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
"OXO Good Grips Heavy Duty Scrub Brush, White, 3 Pound","For cleaning broad surfaces, try the OXO Good Grips bar brush. Perfect for scrubbing bathtubs, tiled surfaces, counter tops and more, this brush features a soft, comfortable body that cushions your hand while you clean. Stiff outer bristles maintain their shape and won't splay. The ACTUAL Item is 7 inches. The item is 10.5” on the card.

",15.99,4.6,"9,904",https://www.amazon.ca/OXO-Good-Grips-Heavy-Scrub/dp/B00004OCLS/ref=sr_1_98?dchild=1&keywords=brush&qid=1619850547&sr=8-98
"Wet Brush 3 Piece Original Detangler Hair Brush, Pink","Enjoy three different variations of the Wet Brush! The Wet Brush Original Detangler along with it's cute little sidekick, the Squirt and the Wet Brush Shine. All 3 brushes feature our exclusive IntelliFlex(R) bristles! IntelliFlex bristles are firm on one stroke but give on the next. Brush out tangles effortlessly, with no more pulling, tugging or pain. The Wet Brush Shine is made with a combination of Mongolian Boar(TM) bristles with Intelliflex(R) bristles to distribute hairs natural oils, leaving hair smooth and shiny. The result: healthier hair, with no tangles, no split ends or hair loss.

",28.15,4.6,320,https://www.amazon.ca/Wet-Brush-Piece-Original-Detangler/dp/B01GTR8Z5Y/ref=sr_1_96?dchild=1&keywords=brush&qid=1619850547&sr=8-96
"FIXBODY Curved Vent hair Brush for Blow Drying, Styling and Solon, Detangling Hair Brush for Short Thick Tangles Hair, Both Men and Women, Added Extra Volume, Black",,13.99,4.6,"1,485",https://www.amazon.ca/FIXBODY-Curved-Styling-Detangling-Tangles/dp/B07R6H38CC/ref=sr_1_95?dchild=1&keywords=brush&qid=1619850547&sr=8-95
"Dry Brushing Body Brush - Long Handled Exfoliating Brush, Body Brush, Dry Brush for Cellulite and Lymphatic Drainage Massager, Body Scrubber Shower Brush for Back, Skin Brush",,15.99,4.2,539,https://www.amazon.ca/Dry-Brushing-Body-Brush-Exfoliating/dp/B07W3NCVV4/ref=sr_1_106_sspa?dchild=1&keywords=brush&qid=1619850547&sr=8-106-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzOVkzUE9MNkJKU044JmVuY3J5cHRlZElkPUEwNzExNDUxMUYzUlBIS0NZQklTUCZlbmNyeXB0ZWRBZElkPUEwMTc0Njg5MTJFV0VFQ09TQUI5SCZ3aWRnZXROYW1lPXNwX2J0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
"Fancii Professional Makeup Brush Collection, 11 pcs Set High End Cosmetic Brush, Cruelty Free Synthetic Bristles for Foundation Blending Powder Blush Eye Shadow, Travel Leather Clutch, Rose Gold",,46.99,4.7,283,https://www.amazon.ca/Fancii-Professional-Collection-Synthetic-Foundation/dp/B079X5L2KY/ref=sr_1_94?dchild=1&keywords=brush&qid=1619850547&sr=8-94
